episode_id,path,layout_id,condition,alpha_normalized,alpha_m,target_color,target_side,blue_block_side,red_block_side,instruction,qc_passed,metadata_success,metadata_failure,length,motion_start,grasp_start,pregrasp_frames,pregrasp_seconds,motion_start_x,motion_start_y,motion_start_z,grasp_x,grasp_y,grasp_z,pregrasp_path_length_m,pregrasp_direct_distance_m,pregrasp_path_ratio,pregrasp_max_line_deviation_m
2026_08_18_00_40_18_199635_L1_left_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_40_18_199635_L1_left_C0/trajectory.h5,L1,C0,0.0,0.0,blue,left,left,right,pick up the blue block,True,False,True,137,0,116,116,7.733333333333333,0.36914077401161194,0.002436452778056264,0.4868185222148895,0.6421027183532715,0.03715485334396362,0.18957476317882538,0.41068637280533415,0.4050523949843079,1.0139092569030348,0.01106525738068377
2026_08_18_00_40_47_448240_L1_left_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_40_47_448240_L1_left_C1/trajectory.h5,L1,C1,2.0,0.1694548757406934,blue,left,left,right,pick up the blue block,True,False,True,149,0,128,128,8.533333333333333,0.36764252185821533,0.0029523386619985104,0.4869697690010071,0.6416912078857422,0.04551049694418907,0.18981681764125824,0.45988589143203046,0.40646495008991274,1.1314281620845799,0.08818413504355918
2026_08_18_00_41_27_880068_L1_left_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_41_27_880068_L1_left_C2/trajectory.h5,L1,C2,4.0,0.3389097514813868,blue,left,left,right,pick up the blue block,True,False,True,177,0,156,156,10.4,0.36816367506980896,0.005303590092808008,0.48791831731796265,0.6416035890579224,0.04537796974182129,0.18999971449375153,0.5780381724017529,0.4063629367631971,1.4224677501496583,0.18518027097739367
2026_08_18_00_45_28_073578_L1_right_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_45_28_073578_L1_right_C0/trajectory.h5,L1,C0,0.0,0.0,red,right,left,right,pick up the red block,True,False,True,137,0,116,116,7.733333333333333,0.36793678998947144,0.005057947710156441,0.48707956075668335,0.6416609883308411,-0.03996047377586365,0.1896570771932602,0.410505516927901,0.40670840753511983,1.0093361959635745,0.00915942222407063
2026_08_18_00_45_56_961481_L1_right_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_45_56_961481_L1_right_C1/trajectory.h5,L1,C1,2.0,0.1694548757406934,red,right,left,right,pick up the red block,True,False,True,149,0,128,128,8.533333333333333,0.36772486567497253,-0.004344699438661337,0.487220823764801,0.6410563588142395,-0.04576452448964119,0.19002866744995117,0.4589752782416105,0.4058927011219407,1.130779826720073,0.08908152496217327
2026_08_18_00_46_25_193744_L1_right_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_46_25_193744_L1_right_C2/trajectory.h5,L1,C2,4.0,0.3389097514813868,red,right,left,right,pick up the red block,True,False,True,177,0,156,156,10.4,0.3681395649909973,-0.005305313505232334,0.4880366027355194,0.6410459876060486,-0.04583442211151123,0.18990986049175262,0.5792173149448907,0.40620201696919955,1.4259341183645824,0.18530945938551677
2026_08_18_00_48_13_457980_L1_left_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_48_13_457980_L1_left_C0/trajectory.h5,L1,C0,0.0,0.0,red,left,right,left,pick up the red block,True,False,True,137,0,116,116,7.733333333333333,0.36866459250450134,-0.0054215253330767155,0.4860031306743622,0.6422917246818542,0.037188559770584106,0.18937627971172333,0.4119675255284053,0.40580157161863645,1.0151945047555495,0.009102899366327485
2026_08_18_00_49_05_482404_L1_left_C1,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_49_05_482404_L1_left_C1/trajectory.h5,L1,C1,2.0,0.1694548757406934,red,left,right,left,pick up the red block,True,False,True,149,0,128,128,8.533333333333333,0.3677959442138672,0.0018774094060063362,0.4869849979877472,0.6417425274848938,0.04522664472460747,0.18948589265346527,0.4614685957478618,0.4067328415105856,1.1345742183837193,0.08920252298641525
2026_08_18_00_49_36_378126_L1_left_C2,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_49_36_378126_L1_left_C2/trajectory.h5,L1,C2,4.0,0.3389097514813868,red,left,right,left,pick up the red block,True,False,True,177,0,156,156,10.4,0.36815235018730164,0.00471722986549139,0.4877866804599762,0.641427755355835,0.045219432562589645,0.19022369384765625,0.5785699623905616,0.40603399672316426,1.424929850849492,0.18547544188200313
2026_08_18_00_50_22_202653_L1_right_C0,/home/hci-lab/repos/droid/data/spatial_legibility_controlled/success/2026-08-18/2026_08_18_00_50_22_202653_L1_right_C0/trajectory.h5,L1,C0,0.0,0.0,blue,right,right,left,pick up the blue block,True,False,True,137,0,116,116,7.733333333333333,0.36809369921684265,0.004883112385869026,0.4879998564720154,0.6417339444160461,-0.0399898998439312,0.18965691328048706,0.4109489268089458,0.4073095662655611,1.008935121698104,0.00979950380836061
